"Pais","Fuerza laboral femenina","Esperanza de vida de mujeres"
"AFG",19.8,"54.4"
"AGO",50.1,"63.4"
"ALB",41.4,"81.9"
"ARE",16.8,"80.5"
"ARG",42,"81.1"
"ARM",46.1,"79.2"
"AUS",46.2,"85.0"
"AUT",46.7,"84.7"
"AZE",48.8,"76.9"
"BDI",52,"68.8"
"BEL",45.9,"84.2"
"BEN",49.1,"63.3"
"BFA",44.7,"64.5"
"BGD",28.8,"76.5"
"BGR",46.3,"78.5"
"BHR",21.4,"81.8"
"BHS",47.5,"75.8"
"BIH",39.1,"80.7"
"BLR",49.7,"79.5"
"BLZ",38.8,"77.0"
"BOL",42.2,"73.4"
"BRA",42.9,"78.4"
"BRB",49.4,"78.4"
"BRN",42.4,"80.4"
"BTN",41.1,"73.2"
"BWA",48.8,"66.9"
"CAF",45.5,"55.7"
"CAN",47.2,"85.9"
"CHE",46.6,"85.3"
"CHL",41.6,"82.5"
"CHN",43.9,"78.4"
"CIV",41.1,"63.6"
"CMR",47,"64.0"
"COD",48.3,"62.8"
"COG",48.9,"62.7"
"COL",43.2,"80.0"
"COM",41.7,"68.1"
"CPV",43.2,"75.6"
"CRI",38,"82.0"
"CUB",38.8,"81.7"
"CYP",46.2,"82.2"
"CZE",44.4,"82.4"
"DEU",46.4,"83.6"
"DJI",39.5,"67.4"
"DNK",47.4,"83.3"
"DOM",39.6,"73.8"
"DZA",18,"79.1"
"ECU",41,"80.6"
"EGY",23.8,"75.3"
"ESP",46.3,"85.2"
"EST",48.4,"82.3"
"ETH",46.3,"69.7"
"FIN",48,"84.4"
"FJI",32.8,"76.6"
"FRA",47.8,"85.4"
"GAB",40.3,"70.8"
"GBR",46.5,"83.5"
"GEO",44.8,"81.3"
"GHA",46.4,"70.8"
"GIN",54.4,"65.0"
"GMB",43.8,"68.3"
"GNB",47.8,"65.1"
"GNQ",36.9,"66.9"
"GRC",44.2,"83.8"
"GTM",34,"74.5"
"GUM",40.6,"79.6"
"GUY",38.5,"72.6"
"HKG",48.8,"86.1"
"HND",36.8,"78.3"
"HRV",46.3,"80.1"
"HTI",47.3,"68.0"
"HUN",45.7,"80.6"
"IDN",38.3,"76.5"
"IND",20.5,"71.2"
"IRL",45.5,"83.7"
"IRN",18.8,"76.0"
"IRQ",16.6,"74.6"
"ISL",47.1,"85.6"
"ISR",47.2,"85.0"
"ITA",42.3,"85.3"
"JAM",45.8,"77.1"
"JOR",17.7,"77.1"
"JPN",43.1,"89.5"
"KAZ",48.3,"76.8"
"KEN",48.6,"70.6"
"KGZ",40.3,"76.2"
"KHM",48.5,"68.6"
"KOR",41.7,"85.9"
"KWT",26.6,"80.2"
"LAO",49,"67.9"
"LBN",24.3,"79.8"
"LBR",47.3,"67.0"
"LBY",34.1,"79.1"
"LCA",45,"81.4"
"LKA",34.3,"81.1"
"LSO",45.3,"53.0"
"LTU",50.5,"81.1"
"LUX",45,"85.2"
"LVA",50.1,"80.1"
"MAC",49.1,"87.7"
"MAR",24.5,"75.1"
"MDA",49.2,"76.0"
"MDG",48.8,"68.9"
"MDV",23.4,"78.9"
"MEX",37.6,"79.6"
"MLI",43.8,"63.9"
"MLT",39.5,"85.0"
"MMR",41.1,"71.1"
"MNE",44.5,"79.8"
"MNG",45.4,"75.2"
"MOZ",52.2,"57.4"
"MRT",31.4,"67.0"
"MUS",38.8,"80.1"
"MWI",48.6,"65.3"
"MYS",38.2,"78.9"
"NAM",48.2,"67.3"
"NCL",45.8,"82.5"
"NER",42.5,"60.8"
"NGA",44.9,"62.3"
"NIC",38.7,"76.6"
"NLD",46.1,"84.1"
"NOR",47.1,"84.4"
"NPL",55.9,"72.6"
"NZL",47.4,"84.0"
"OMN",13.2,"78.4"
"PAK",21.3,"71.3"
"PAN",39.4,"82.2"
"PER",45.8,"76.9"
"PHL",39.2,"73.8"
"PNG",48.5,"70.0"
"POL",44.6,"82.3"
"PRI",42.5,"84.7"
"PRK",47.3,"75.6"
"PRT",48.8,"84.4"
"PRY",39.4,"80.7"
"PSE",19.5,"78.1"
"PYF",43.5,"80.4"
"QAT",13.5,"81.6"
"ROU",42.9,"79.7"
"RUS",48.5,"77.8"
"RWA",51.6,"67.1"
"SAU",16.8,"77.8"
"SDN",29.9,"68.8"
"SEN",40.2,"65.4"
"SGP",41.8,"88.9"
"SLB",48.7,"79.0"
"SLE",49.5,"62.6"
"SLV",42.2,"78.6"
"SRB",44.2,"75.1"
"SRB",44.2,"79.4"
"SSD",49.1,"56.5"
"STP",35.8,"67.8"
"SUR",37.8,"75.9"
"SVK",45.4,"81.6"
"SVN",46.4,"84.4"
"SWE",47.7,"84.5"
"SWZ",48.5,"60.7"
"SYR",16.2,"75.3"
"TCD",45.4,"60.1"
"TGO",49.6,"69.3"
"THA",45.6,"78.9"
"TJK",37.9,"72.3"
"TKM",41.1,"74.5"
"TLS",45.6,"71.1"
"TON",39.1,"78.8"
"TTO",42.5,"76.9"
"TUN",26.7,"78.1"
"TUR",32.3,"78.2"
"TZA",48.2,"65.5"
"UGA",49.1,"70.5"
"UKR",47.2,"77.9"
"URY",45.4,"81.2"
"USA",45.9,"82.5"
"UZB",41,"78.0"
"VCT",40,"78.3"
"VEN",39.5,"74.7"
"VNM",47.8,"77.1"
"VUT",43.6,"76.4"
"WSM",34.5,"77.7"
"YEM",8,"69.3"
"ZAF",44.8,"66.2"
"ZMB",48,"55.3"
"ZWE",50.9,"64.5"
